,artist,album
1,Tony Carreira,Ao vivo no pavilhao atlantico
3,Pedro Abrunhosa,Palco
4,Mariza,Fado curvo
8,Mariza,Fado em mim
14,Tony Carreira,Vagabundo por amor
23,Mariza,Transparente
29,Tony Carreira,A vida que eu escolhi
33,Mariza,Concerto em Lisboa
38,Paulo Gonzo,Paulo Gonzo
50,Mariza,Concerto em Lisboa
51,Paulo Gonzo,Perfil
58,Ana Moura,Para além da saudade
61,Mariza,Fado em mim
63,Tony Carreira,O homem que sou
65,Deolinda,Canção ao lado
69,Mariza,Terra
73,Tony Carreira,Best Of - 20 anos de canções
84,Ana Moura,Leva-me aos fados
86,Paulo Gonzo,Perfil
90,Tony Carreira,O homem que sou
91,Mariza,Terra
92,Deolinda,Canção ao lado
94,Carminho,Fado
96,Tony Carreira,O mesmo de sempre
97,Mariza,Fado tradicional
106,Deolinda,Dois selos e um carimbo
109,Tony Carreira,O homem que sou
114,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
120,Paulo Gonzo,Só gestos
121,Deolinda,Deolinda no coliseu dos recreios
127,Tony Carreira,Essencial
128,Ana Moura,Desfado
131,Panda e Os Caricas,Panda e Os Caricas
134,Carminho,Alma
136,António Zambujo,Quinto
143,Tony Carreira,25 anos
144,Pedro Abrunhosa,Contramão
145,Paulo Gonzo,Duetos
146,Ana Moura,Desfado
147,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
151,António Zambujo,Quinto
155,Tony Carreira,Essencial
156,Panda e Os Caricas,Panda e Os Caricas 2
158,Carminho,Alma
159,Tony Carreira,Sempre
161,D.A.M.A.,Uma questão de princípio
163,António Zambujo,Rua da Emenda
164,Carminho,Canto
166,Mariza,Best Of Mariza
168,Paulo Gonzo,Duetos
169,Tony Carreira,25 anos
171,Panda e Os Caricas,Panda e Os Caricas 2
174,Pedro Abrunhosa,Viagens
176,Ana Moura,Moura
177,Mariza,Mundo
178,D.A.M.A.,Dá-me um segundo
182,Mariza,Best Of Mariza
183,Ana Moura,Desfado
186,Carminho,Canto
188,Panda e Os Caricas,Panda e Os Caricas 3
190,D.A.M.A.,Uma questão de princípio
193,António Zambujo,Rua da Emenda
196,Ana Moura,Moura
197,Carminho,Carminho canta Tom Jobim
198,Panda e Os Caricas,Panda e Os Caricas 3
200,António Zambujo,Até pensei que fosse minha
201,António Zambujo,Rua da Emenda
204,D.A.M.A.,Dá-me um segundo
205,Mariza,Mundo
206,Ana Moura,Desfado
213,Mariza,Best Of Mariza
215,Deolinda,Outras histórias
220,D.A.M.A.,Lado a lado
222,Ana Moura,Best Of
224,Ana Moura,Moura
226,Ana Moura,Desfado
227,Tony Carreira,Sempre mais
232,Mariza,Best Of Mariza
235,Carminho,Carminho canta Tom Jobim
237,Mariza,Mundo
238,Mariza,Concerto em Lisboa
241,Tony Carreira,As cançoes das nossas vidas
242,Pedro Abrunhosa,Espiritual
244,António Zambujo,Do avesso
246,Mariza,Mariza [2018]
247,Carminho,Maria
248,Panda e Os Caricas,A volta ao mundo
249,Mariza,Best Of Mariza
252,Ana Moura,Best Of
253,Panda e Os Caricas,Panda e Os Caricas 3
256,Mariza,Concerto em Lisboa
259,Tony Carreira,Ao vivo no pavilhao atlantico
260,Pedro Abrunhosa,Palco
263,Mariza,Fado curvo
266,Mariza,Fado em mim
273,Tony Carreira,Vagabundo por amor
280,Mariza,Transparente
287,Tony Carreira,A vida que eu escolhi
293,Mariza,Concerto em Lisboa
308,Paulo Gonzo,Perfil
309,Mariza,Concerto em Lisboa
314,Tony Carreira,A vida que eu escolhi
315,Ana Moura,Para além da saudade
318,Mariza,Fado em mim
320,Tony Carreira,O homem que sou
324,Deolinda,Canção ao lado
325,Mariza,Terra
328,Tony Carreira,Best Of - 20 anos de canções
339,Paulo Gonzo,Perfil
343,Tony Carreira,O homem que sou
344,Ana Moura,Leva-me aos fados
347,Mariza,Terra
352,Deolinda,Canção ao lado
354,Tony Carreira,O mesmo de sempre
358,Mariza,Fado tradicional
363,Pedro Abrunhosa,Longe
365,Deolinda,Dois selos e um carimbo
366,Paulo Gonzo,Colecção
369,Tony Carreira,O homem que sou
374,Tony Carreira,Best Of - 20 anos de canções - Vol. 2
383,Paulo Gonzo,Só gestos
384,Tony Carreira,O mesmo de sempre
386,Deolinda,Deolinda no coliseu dos recreios
388,Tony Carreira,Essencial
389,Ana Moura,Desfado
391,Panda e Os Caricas,Panda e Os Caricas
394,António Zambujo,Quinto
395,Carminho,Alma
404,Paulo Gonzo,Duetos
405,Tony Carreira,25 anos
406,Pedro Abrunhosa,Contramão
407,Ana Moura,Desfado
408,António Zambujo,Lisboa 22:38 - Ao vivo no Coliseu
411,António Zambujo,Quinto
417,Panda e Os Caricas,Panda e Os Caricas
419,Panda e Os Caricas,Panda e Os Caricas 2
420,Carminho,Alma
421,Tony Carreira,Sempre
422,D.A.M.A.,Uma questão de princípio
424,António Zambujo,Rua da Emenda
425,Carminho,Canto
428,Mariza,Best Of Mariza
429,Paulo Gonzo,Duetos
431,Tony Carreira,25 anos
436,Panda e Os Caricas,Panda e Os Caricas 2
437,Ana Moura,Desfado
439,Ana Moura,Moura
440,Mariza,Mundo
441,D.A.M.A.,Dá-me um segundo
447,Mariza,Best Of Mariza
448,D.A.M.A.,Uma questão de princípio
449,Ana Moura,Desfado
450,Panda e Os Caricas,Panda e Os Caricas 3
451,Carminho,Canto
454,Carminho,Carminho canta Tom Jobim
455,Ana Moura,Moura
456,Panda e Os Caricas,Panda e Os Caricas 3
457,António Zambujo,Até pensei que fosse minha
459,Ana Moura,Desfado
460,António Zambujo,Rua da Emenda
461,D.A.M.A.,Dá-me um segundo
464,Mariza,Mundo
470,Mariza,Best Of Mariza
473,D.A.M.A.,Lado a lado
474,Ana Moura,Best Of
477,Carminho,Carminho canta Tom Jobim
479,Ana Moura,Moura
480,Mariza,Best Of Mariza
482,Tony Carreira,Sempre mais
483,Mariza,Concerto em Lisboa
487,Ana Moura,Desfado
491,António Zambujo,Do avesso
492,Tony Carreira,As cançoes das nossas vidas
493,Pedro Abrunhosa,Espiritual
